
Keyword,Abbreviation
0,0
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
1d,1d
Abort,Abort
Abs,Abs
Absolute,Abslt
Ac,Ac
Acc,Acc
Acceleration,A
Accelerator,Accr
Accept,Acpt
Access,Acs
Accessory,Acsy
Accommodation,Acco
Acknowledge,Ack
Acknowledged,Ackd
Acoustic,Acoust
Acquire,Acq
Acquired,Acqd
Action,Actn
Activate,Actvt
Activated,Actvd
Activation,Actvn
Active,Actv
Actual,Act
Actuation,Acttn
Actuator,Actr
Adapter,Adpr
Adaptive,Adpv
Additional,Addl
Additive,Add
Address,Adr
Adhesion,Adh
Adjust,Adj
Adjustment,Adjmt
Advance,Adv
After,Aft
Aging,Agi
Ahead,Ahd
Aid,Aid
Air,Air
Airbag,Airb
Ajar,Ajar
Alarm,Alrm
Alarmed,Alrmd
All,All
Allowable,Allwbl
Allowed,Allwd
Alternative,Altv
Alternator,Alt
Altitude,Alti
Ambient,Amb
Amount,Amnt
Ampere,Ampr
Amplitude,Amp
Amt,Amt
Analog,An
Anchorfitting,Anchrfitg
And,And
Angle,Ag
Angular,Agr
Anti-submarine,Antisub
Antitheft,Antithft
Apillar,Apil
Application,Appl
Applied,Appld
Apply,Apply
Approved,Aprvd
Arbitrated,Arbd
Arbitration,Arbn
Area,Ar
Arm,Arm
Armature,Armtr
Armed,Armed
Arming,Arming
Array,Ary
Asc,Asc
Ashtray,Ashtray
Assist,Assi
Assistance,Assc
Assistant,Asst
Assisted,Assid
Asynchronous,Async
At,At
Attenuator,Attn
Australia,Australia
Authentication,Authent
Authorization,Authn
Authorize,Auth
Automatic,Aut
Auxiliary,Aux
Available,Avl
Axis,Axis
Axle,Axle
Axles,Axles
Back,Back
Backed,Backed
Backlit,Backlt
Backlite,Backlite
Backward,Backw
Balance,Bal
Bank,Bnk
Bar,Bar
Barometric,Baro
Base,Bas
Basic,Basc
Battery,Batt
Beam,Beam
Belgium,Belgium
Belt,Blt
Bench,Bench
Bicycle,Bicycle
Blind,Bli
Blink,Blink
Block,Blk
Blocked,Blkd
Board,Bd
Body,Body
Bolster,Blstr
Boost,Boost
Boot,Boot
Bottom,Botm
Bounce,Bnce
Boundless,Bndls
Box,Box
Bpillar,Bpil
Bracket,Brkt
Brake,Brk
Braking,Brkg
Brazil,Brazil
Break,Break
Bridge,Brdg
Brightness,Bri
Buckle,Buc
Buckled,Bucd
Buffer,Buf
Bumper,Bmp
Burner,Brnr
Burning,Brng
Bus,Bus
Button,Btn
Buzzer,Buz
By,By
Bypass,Byp
Cabin,Cbn
Calculated,Calcd
Calculation,Calcn
Calibration,Cal
Call,Call
Camshaft,Camsft
Canada,Canada
Cancel,Cncl
Cancelled,Cncld
Candela,Cd
Canister,Cstr
Capability,Cpby
Capacity,Cp
Car,Car
Case,Case
Catalyst,Cat
Centigrade,Cgrd
Central,Cen
Chamber,Chmb
Change,Chg
Channel,Ch
Characteristic,Chartc
Charge,Chrg
Charger,Chrgr
Charging,Chrgn
Chassis,Chassis
Check,Chk
Checksum,Chks
Child,Chd
Chimer,Chimer
China,China
Chirp,Chirp
Choke,Choke
Cigarette,Cigarette
Circuit,Circ
Circumference,Circum
Circumferential,Circuml
Clamp,Clmp
Clamped,Clmpd
Class,Class
Classification,Classn
Cleaner,Clnr
Cleaning,Clng
Clear,Clr
Cleared,Clrd
Climatisation,Clima
Clock,Clk
Close,Cls
Closed,Clsd
Clutch,Clu
Coasting,Coast
Coated,Cot
Code,Cod
Coefficient,Coeff
Cog,Cog
Coil,Coil
Cold,Cold
Collector,Coll
Collision,Cllsn
Column,Col
Combination,Comb
Combustion,Cmb
Comfort,Cmft
Coming,Cmng
Command,Cmd
Common,Cmn
Communication,Com
Commutation,Cmu
Comparison,Comp
Compartment,Cmptmt
Compensation,Cmp
Complement,Cpl
Complete,Cmpl
Complex,Cmplx
Component,Cpt
Compression,Cmpn
Compressor,Cmpr
Concentration,Conc
Condition,Cdn
Conditioner,Cdnr
Conditioning,Cdng
Configuration,Cfg
Configured,Cfgd
Confirmation,Cfm
Confirmed,Cfmd
Constant,Con
Consume,Cnse
Consumption,Cns
Continuous,Contns
Control,Ctrl
Controlled,Ctrld
Controller,Ctrlr
Convection,Cnvc
Conversion,Cnvn
Converter,Cnvr
Convertible,Cnvtb
Cool,Cool
Coolant,Coolt
Cooling,Coolg
Coordinated,Coord
Coordination,Coorn
Coordinator,Coorr
Copy,Copy
Corner,Cornr
Cornering,Cornrg
Corrected,Corrd
Correction,Corrn
Correlation,Corrln
Coulomb,Coulomb
Count,Cnt
Counter,Cntr
Countershaft,Ctrsft
Country,Ctry
Coupled,Coupld
Coupling,Coupl
Course,Course
Cpillar,Cpil
Crank,Crk
Crankcase,Crkcs
Crankshaft,Crksft
Crash,Crash
Crawl,Crawl
Creep,Crp
Criteria,Cta
Critical,Crit
Cruise,Crs
Cryptography,Crypto
Cubed,Cubd
Cubic,Cub
Curb,Curb
Curtain,Curt
Curvature,Crvt
Cushion,Cush
Customer,Cust
Cut,Cut
Cvt,Cvt
Cycle,Cyc
Cylinder,Cyl
D,D
Damper,Dampr
Damping,Dampg
Das,Das
Dashboard,Dshb
Dashpot,Dash
Data,Data
Date,Date
Day,Day
Daytime,Dayti
Dc,Dc
Dcc,Dcc
Dct,Dct
Deactivate,Deactvt
Deactivated,Deactvd
Deactivation,Deactvn
Deadband,Dbnd
Debounce,Deb
Deceleration,Decel
Decrease,Dec
Default,Dft
Defect,Dfct
Defined,Defd
Defrost,Defrst
Defueling,Defu
Degraded,Degraded
Degree,Deg
Delay,Dly
Delta,Delta
Dem,Dem
Demand,Dmd
Density,Dens
Depression,Dep
Desired,Des
Detected,Detd
Detection,Detn
Deviation,De
Device,Dev
Dew,Dew
Diagnosis,Diag
Diagnostic,Diagc
Diameter,Diam
Diesel,Dsl
Difference,Dif
Differential,Dftl
Digital,Dig
Dilution,Dil
Dim,Dim
Dimension,Dimension
Direction,Dir
Directory,Dire
Disable,Di
Disappear,Disa
Disarm,Disarm
Disarmed,Disarmed
Discharge,Dcha
Discrete,Dis
Disk,Dsk
Displacement,Dpl
Display,Disp
Displayed,Dispd
Distance,Dst
Distribution,Distbn
Division,Div
Door,Door
Down,Dwn
Drag,Drg
Drift,Drift
Drive,Drv
Driver,Drvr
Drivetrain,Dt
Driving,Drvg
Drop,Drp
Dry,Dry
Dtd,Dtd
Dummy,Dummy
Duration,Durn
During,Durg
Duty,Duty
Dynamic,Dyn
Dynamometer,Dyno
Easy,Easy
Ec,Ec
Economy,Eco
Ecu,Ecu
Edge,Edge
Edit,Edit
Effective,Efc
Efficiency,Eff
Egr,Egr
Egypt,Egypt
Ehb,Ehb
Elapsed,Elpd
Electric,Elec
Electronic,Electc
Electropneumatic,Eltpnm
Element,Elm
Emergency,Emgy
Emission,Emi
Empty,Empty
Emulated,Emuld
Emulation,Emuln
Enable,Ena
Enabled,Enad
Enabling,Enag
End,End
Energy,Egy
Engaged,Engd
Engagement,Engmt
Engine,Eng
England,England
Enhanced,Enhd
Enhancement,Enhmt
Enough,Engh
Enrichment,Enchmt
Entry,Entry
Environmental,Envtl
Epb,Epb
Equal,Equ
Equipment,Equip
Equipped,Equid
Equivalent,Equiv
Erase,Erase
Error,Err
Esc,Esc
Estimated,Estimd
Estimation,Estimn
Estimator,Estimr
Evaluation,Evln
Evaluator,Evlr
Evaporative,Evap
Event,Eve
Exceed,Excd
Exceeded,Excdd
Excenter,Excr
Exception,Excpn
Excitation,Exct
Exclusion,Exclsn
Exist,Exist
Expansion,Exp
Experiment,Expt
Export,Exprt
Extend,Extn
Extended,Extd
Exterior,Extr
External,Ext
Extrapolation,Extrpn
Faced,Facd
Factor,Fac
Fade,Fade
Failed,Faild
Failure,Failr
Falling,Fall
Fan,Fan
Farad,Frd
Fast,Fast
Fault,Flt
Favourable,Fav
Feedback,Fb
Female,Fmale
Field,Fie
File,File
Filling,Fillg
Filter,Fil
Filtered,Fild
Final,Final
Finder,Findr
Fine,Fine
Finished,Finshd
First,First
Fixation,Fixa
Fixed,Fixd
Flag,Flg
Flank,Flank
Flap,Flap
Flash,Flash
Flashing,Flsg
Flipper,Flpr
Flood,Flood
Flow,Flow
Fluctuation,Fluc
Fluid,Fld
Flywheel,Flywh
Fm,Fm
Fob,Fob
Fog,Fog
Fold,Fold
Follow,Folw
Follower,Fol
Footwell,Footwell
For,For
Force,F
Format,Fmt
Forward,Fwd
Free,Free
Freewheeling,Fw
Frequency,Frq
Friction,Fric
From,From
Front,Frnt
